"REGION","Region","LOCATION","Country","VAR","Variables","TIME","Time","Value","Flag Codes","Flags"
"REG1_4","Europe","HUN","Hungary","RCL","Restricted civil liberties","2023","2023",26.9,,
"REG1_5","All regions","HUN","Hungary","SIGI","SIGI 2023","2023","2023",15.2,,
"REG1_5","All regions","HUN","Hungary","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","HUN","Hungary","RPI","Restricted physical integrity","2023","2023",21.2,,
"REG1_5","All regions","HUN","Hungary","RAPFR","Access to productive and financial assets","2023","2023",3,,
"REG1_5","All regions","HUN","Hungary","RCL","Restricted civil liberties","2023","2023",26.9,,
"REG1_4","Europe","ISL","Iceland","DF","Discrimination in the family","2023","2023",30.8,,
"REG1_4","Europe","ISL","Iceland","RAPFR","Access to productive and financial assets","2023","2023",3.4,,
"REG1_4","Europe","ISL","Iceland","RCL","Restricted civil liberties","2023","2023",19.9,,
"REG1_5","All regions","ISL","Iceland","DF","Discrimination in the family","2023","2023",30.8,,
"REG1_5","All regions","ISL","Iceland","RAPFR","Access to productive and financial assets","2023","2023",3.4,,
"REG1_5","All regions","ISL","Iceland","RCL","Restricted civil liberties","2023","2023",19.9,,
"REG1_4","Europe","IRL","Ireland","SIGI","SIGI 2023","2023","2023",14.3,,
"REG1_4","Europe","IRL","Ireland","DF","Discrimination in the family","2023","2023",24.7,,
"REG1_4","Europe","IRL","Ireland","RPI","Restricted physical integrity","2023","2023",16.4,,
"REG1_4","Europe","IRL","Ireland","RAPFR","Access to productive and financial assets","2023","2023",3.8,,
"REG1_4","Europe","IRL","Ireland","RCL","Restricted civil liberties","2023","2023",11,,
"REG1_5","All regions","IRL","Ireland","SIGI","SIGI 2023","2023","2023",14.3,,
"REG1_5","All regions","IRL","Ireland","DF","Discrimination in the family","2023","2023",24.7,,
"REG1_5","All regions","IRL","Ireland","RPI","Restricted physical integrity","2023","2023",16.4,,
"REG1_5","All regions","IRL","Ireland","RAPFR","Access to productive and financial assets","2023","2023",3.8,,
"REG1_5","All regions","IRL","Ireland","RCL","Restricted civil liberties","2023","2023",11,,
"REG1_4","Europe","ITA","Italy","SIGI","SIGI 2023","2023","2023",9.2,,
"REG1_4","Europe","ITA","Italy","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_4","Europe","ITA","Italy","RPI","Restricted physical integrity","2023","2023",15.3,,
"REG1_4","Europe","ITA","Italy","RAPFR","Access to productive and financial assets","2023","2023",6.9,,
"REG1_4","Europe","ITA","Italy","RCL","Restricted civil liberties","2023","2023",6.6,,
"REG1_5","All regions","ITA","Italy","SIGI","SIGI 2023","2023","2023",9.2,,
"REG1_5","All regions","ITA","Italy","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_5","All regions","ITA","Italy","RPI","Restricted physical integrity","2023","2023",15.3,,
"REG1_5","All regions","ITA","Italy","RAPFR","Access to productive and financial assets","2023","2023",6.9,,
"REG1_5","All regions","ITA","Italy","RCL","Restricted civil liberties","2023","2023",6.6,,
"REG1_3","Asia","JPN","Japan","SIGI","SIGI 2023","2023","2023",32.9,,
"REG1_3","Asia","JPN","Japan","DF","Discrimination in the family","2023","2023",44.4,,
"REG1_3","Asia","JPN","Japan","RPI","Restricted physical integrity","2023","2023",29,,
"REG1_3","Asia","JPN","Japan","RAPFR","Access to productive and financial assets","2023","2023",30,,
"REG1_3","Asia","JPN","Japan","RCL","Restricted civil liberties","2023","2023",27.3,,
"REG1_5","All regions","JPN","Japan","SIGI","SIGI 2023","2023","2023",32.9,,
"REG1_5","All regions","JPN","Japan","DF","Discrimination in the family","2023","2023",44.4,,
"REG1_5","All regions","JPN","Japan","RPI","Restricted physical integrity","2023","2023",29,,
"REG1_5","All regions","JPN","Japan","RAPFR","Access to productive and financial assets","2023","2023",30,,
"REG1_5","All regions","JPN","Japan","RCL","Restricted civil liberties","2023","2023",27.3,,
"REG1_3","Asia","KOR","Korea","SIGI","SIGI 2023","2023","2023",19.8,,
"REG1_3","Asia","KOR","Korea","DF","Discrimination in the family","2023","2023",20.2,,
"REG1_3","Asia","KOR","Korea","RPI","Restricted physical integrity","2023","2023",15.5,,
"REG1_3","Asia","KOR","Korea","RAPFR","Access to productive and financial assets","2023","2023",28.9,,
"REG1_3","Asia","KOR","Korea","RCL","Restricted civil liberties","2023","2023",13.8,,
"REG1_5","All regions","KOR","Korea","SIGI","SIGI 2023","2023","2023",19.8,,
"REG1_5","All regions","KOR","Korea","DF","Discrimination in the family","2023","2023",20.2,,
"REG1_5","All regions","KOR","Korea","RPI","Restricted physical integrity","2023","2023",15.5,,
"REG1_5","All regions","KOR","Korea","RAPFR","Access to productive and financial assets","2023","2023",28.9,,
"REG1_5","All regions","KOR","Korea","RCL","Restricted civil liberties","2023","2023",13.8,,
"REG1_4","Europe","LUX","Luxembourg","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_4","Europe","LUX","Luxembourg","RAPFR","Access to productive and financial assets","2023","2023",10.6,,
"REG1_4","Europe","LUX","Luxembourg","RCL","Restricted civil liberties","2023","2023",6.9,,
"REG1_5","All regions","LUX","Luxembourg","DF","Discrimination in the family","2023","2023",7.8,,
"REG1_5","All regions","LUX","Luxembourg","RAPFR","Access to productive and financial assets","2023","2023",10.6,,
"REG1_5","All regions","LUX","Luxembourg","RCL","Restricted civil liberties","2023","2023",6.9,,
"REG1_2","Americas","MEX","Mexico","SIGI","SIGI 2023","2023","2023",21.9,,
"REG1_2","Americas","MEX","Mexico","DF","Discrimination in the family","2023","2023",39.2,,
"REG1_2","Americas","MEX","Mexico","RPI","Restricted physical integrity","2023","2023",23.3,,
"REG1_2","Americas","MEX","Mexico","RAPFR","Access to productive and financial assets","2023","2023",16.4,,
"REG1_2","Americas","MEX","Mexico","RCL","Restricted civil liberties","2023","2023",5.9,,
"REG1_5","All regions","MEX","Mexico","SIGI","SIGI 2023","2023","2023",21.9,,
"REG1_5","All regions","MEX","Mexico","DF","Discrimination in the family","2023","2023",39.2,,
"REG1_5","All regions","MEX","Mexico","RPI","Restricted physical integrity","2023","2023",23.3,,
"REG1_5","All regions","MEX","Mexico","RAPFR","Access to productive and financial assets","2023","2023",16.4,,
"REG1_5","All regions","MEX","Mexico","RCL","Restricted civil liberties","2023","2023",5.9,,
"REG1_4","Europe","NLD","Netherlands","SIGI","SIGI 2023","2023","2023",9.5,,
"REG1_4","Europe","NLD","Netherlands","DF","Discrimination in the family","2023","2023",0,,
"REG1_4","Europe","NLD","Netherlands","RPI","Restricted physical integrity","2023","2023",10.7,,
"REG1_4","Europe","NLD","Netherlands","RAPFR","Access to productive and financial assets","2023","2023",7.3,,
"REG1_4","Europe","NLD","Netherlands","RCL","Restricted civil liberties","2023","2023",18.9,,
"REG1_5","All regions","NLD","Netherlands","SIGI","SIGI 2023","2023","2023",9.5,,
"REG1_5","All regions","NLD","Netherlands","DF","Discrimination in the family","2023","2023",0,,
"REG1_5","All regions","NLD","Netherlands","RPI","Restricted physical integrity","2023","2023",10.7,,
"REG1_5","All regions","NLD","Netherlands","RAPFR","Access to productive and financial assets","2023","2023",7.3,,
"REG1_5","All regions","NLD","Netherlands","RCL","Restricted civil liberties","2023","2023",18.9,,
"REG1_3","Asia","NZL","New Zealand","SIGI","SIGI 2023","2023","2023",14,,
"REG1_3","Asia","NZL","New Zealand","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_3","Asia","NZL","New Zealand","RPI","Restricted physical integrity","2023","2023",10.2,,
"REG1_3","Asia","NZL","New Zealand","RAPFR","Access to productive and financial assets","2023","2023",20.3,,
"REG1_3","Asia","NZL","New Zealand","RCL","Restricted civil liberties","2023","2023",16.9,,
"REG1_5","All regions","NZL","New Zealand","SIGI","SIGI 2023","2023","2023",14,,
"REG1_5","All regions","NZL","New Zealand","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","NZL","New Zealand","RPI","Restricted physical integrity","2023","2023",10.2,,
"REG1_5","All regions","NZL","New Zealand","RAPFR","Access to productive and financial assets","2023","2023",20.3,,
"REG1_5","All regions","NZL","New Zealand","RCL","Restricted civil liberties","2023","2023",16.9,,
"REG1_4","Europe","NOR","Norway","SIGI","SIGI 2023","2023","2023",6.7,,
"REG1_4","Europe","NOR","Norway","DF","Discrimination in the family","2023","2023",0,,
"REG1_4","Europe","NOR","Norway","RPI","Restricted physical integrity","2023","2023",13.2,,
"REG1_4","Europe","NOR","Norway","RAPFR","Access to productive and financial assets","2023","2023",4.6,,
"REG1_4","Europe","NOR","Norway","RCL","Restricted civil liberties","2023","2023",8.4,,
"REG1_5","All regions","NOR","Norway","SIGI","SIGI 2023","2023","2023",6.7,,
"REG1_5","All regions","NOR","Norway","DF","Discrimination in the family","2023","2023",0,,
"REG1_5","All regions","NOR","Norway","RPI","Restricted physical integrity","2023","2023",13.2,,
"REG1_5","All regions","NOR","Norway","RAPFR","Access to productive and financial assets","2023","2023",4.6,,
"REG1_5","All regions","NOR","Norway","RCL","Restricted civil liberties","2023","2023",8.4,,
"REG1_4","Europe","POL","Poland","SIGI","SIGI 2023","2023","2023",18.5,,
"REG1_4","Europe","POL","Poland","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_4","Europe","POL","Poland","RPI","Restricted physical integrity","2023","2023",32.2,,
"REG1_4","Europe","POL","Poland","RAPFR","Access to productive and financial assets","2023","2023",20.9,,
"REG1_4","Europe","POL","Poland","RCL","Restricted civil liberties","2023","2023",11,,
"REG1_5","All regions","POL","Poland","SIGI","SIGI 2023","2023","2023",18.5,,
"REG1_5","All regions","POL","Poland","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","POL","Poland","RPI","Restricted physical integrity","2023","2023",32.2,,
"REG1_5","All regions","POL","Poland","RAPFR","Access to productive and financial assets","2023","2023",20.9,,
"REG1_5","All regions","POL","Poland","RCL","Restricted civil liberties","2023","2023",11,,
"REG1_4","Europe","PRT","Portugal","SIGI","SIGI 2023","2023","2023",9.5,,
"REG1_4","Europe","PRT","Portugal","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_4","Europe","PRT","Portugal","RPI","Restricted physical integrity","2023","2023",13,,
"REG1_4","Europe","PRT","Portugal","RAPFR","Access to productive and financial assets","2023","2023",4.1,,
"REG1_4","Europe","PRT","Portugal","RCL","Restricted civil liberties","2023","2023",12.9,,
"REG1_5","All regions","PRT","Portugal","SIGI","SIGI 2023","2023","2023",9.5,,
"REG1_5","All regions","PRT","Portugal","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","PRT","Portugal","RPI","Restricted physical integrity","2023","2023",13,,
"REG1_5","All regions","PRT","Portugal","RAPFR","Access to productive and financial assets","2023","2023",4.1,,
"REG1_5","All regions","PRT","Portugal","RCL","Restricted civil liberties","2023","2023",12.9,,
"REG1_4","Europe","SVK","Slovak Republic","SIGI","SIGI 2023","2023","2023",14.2,,
"REG1_4","Europe","SVK","Slovak Republic","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_4","Europe","SVK","Slovak Republic","RPI","Restricted physical integrity","2023","2023",21.4,,
"REG1_4","Europe","SVK","Slovak Republic","RAPFR","Access to productive and financial assets","2023","2023",4.1,,
"REG1_4","Europe","SVK","Slovak Republic","RCL","Restricted civil liberties","2023","2023",22.3,,
"REG1_5","All regions","SVK","Slovak Republic","SIGI","SIGI 2023","2023","2023",14.2,,
"REG1_5","All regions","SVK","Slovak Republic","DF","Discrimination in the family","2023","2023",7.9,,
"REG1_5","All regions","SVK","Slovak Republic","RPI","Restricted physical integrity","2023","2023",21.4,,
"REG1_5","All regions","SVK","Slovak Republic","RAPFR","Access to productive and financial assets","2023","2023",4.1,,
"REG1_5","All regions","SVK","Slovak Republic","RCL","Restricted civil liberties","2023","2023",22.3,,
"REG1_4","Europe","ESP","Spain","SIGI","SIGI 2023","2023","2023",9,,
"REG1_4","Europe","ESP","Spain","DF","Discrimination in the family","2023","2023",14.6,,
"REG1_4","Europe","ESP","Spain","RPI","Restricted physical integrity","2023","2023",13.6,,
"REG1_4","Europe","ESP","Spain","RAPFR","Access to productive and financial assets","2023","2023",4.3,,
"REG1_4","Europe","ESP","Spain","RCL","Restricted civil liberties","2023","2023",3.1,,
"REG1_5","All regions","ESP","Spain","SIGI","SIGI 2023","2023","2023",9,,
"REG1_5","All regions","ESP","Spain","DF","Discrimination in the family","2023","2023",14.6,,
"REG1_5","All regions","ESP","Spain","RPI","Restricted physical integrity","2023","2023",13.6,,
"REG1_5","All regions","ESP","Spain","RAPFR","Access to productive and financial assets","2023","2023",4.3,,
"REG1_5","All regions","ESP","Spain","RCL","Restricted civil liberties","2023","2023",3.1,,
"REG1_4","Europe","SWE","Sweden","SIGI","SIGI 2023","2023","2023",8.8,,
"REG1_4","Europe","SWE","Sweden","DF","Discrimination in the family","2023","2023",3.5,,
"REG1_4","Europe","SWE","Sweden","RPI","Restricted physical integrity","2023","2023",13.5,,
"REG1_4","Europe","SWE","Sweden","RAPFR","Access to productive and financial assets","2023","2023",2.1,,
"REG1_4","Europe","SWE","Sweden","RCL","Restricted civil liberties","2023","2023",15.6,,
"REG1_5","All regions","SWE","Sweden","SIGI","SIGI 2023","2023","2023",8.8,,
"REG1_5","All regions","SWE","Sweden","DF","Discrimination in the family","2023","2023",3.5,,
"REG1_5","All regions","SWE","Sweden","RPI","Restricted physical integrity","2023","2023",13.5,,
"REG1_5","All regions","SWE","Sweden","RAPFR","Access to productive and financial assets","2023","2023",2.1,,
"REG1_5","All regions","SWE","Sweden","RCL","Restricted civil liberties","2023","2023",15.6,,
"REG1_4","Europe","CHE","Switzerland","SIGI","SIGI 2023","2023","2023",9.9,,
"REG1_4","Europe","CHE","Switzerland","DF","Discrimination in the family","2023","2023",0,,
"REG1_4","Europe","CHE","Switzerland","RPI","Restricted physical integrity","2023","2023",14.8,,
"REG1_4","Europe","CHE","Switzerland","RAPFR","Access to productive and financial assets","2023","2023",11.4,,
"REG1_4","Europe","CHE","Switzerland","RCL","Restricted civil liberties","2023","2023",12.7,,
"REG1_5","All regions","CHE","Switzerland","SIGI","SIGI 2023","2023","2023",9.9,,
"REG1_5","All regions","CHE","Switzerland","DF","Discrimination in the family","2023","2023",0,,
"REG1_5","All regions","CHE","Switzerland","RPI","Restricted physical integrity","2023","2023",14.8,,
"REG1_5","All regions","CHE","Switzerland","RAPFR","Access to productive and financial assets","2023","2023",11.4,,
"REG1_5","All regions","CHE","Switzerland","RCL","Restricted civil liberties","2023","2023",12.7,,
"REG1_3","Asia","TUR","Türkiye","SIGI","SIGI 2023","2023","2023",24,,
"REG1_3","Asia","TUR","Türkiye","DF","Discrimination in the family","2023","2023",31.2,,
"REG1_3","Asia","TUR","Türkiye","RPI","Restricted physical integrity","2023","2023",13,,
"REG1_3","Asia","TUR","Türkiye","RAPFR","Access to productive and financial assets","2023","2023",29.8,,
"REG1_3","Asia","TUR","Türkiye","RCL","Restricted civil liberties","2023","2023",21.1,,
"REG1_5","All regions","TUR","Türkiye","SIGI","SIGI 2023","2023","2023",24,,
"REG1_5","All regions","TUR","Türkiye","DF","Discrimination in the family","2023","2023",31.2,,
"REG1_5","All regions","TUR","Türkiye","RPI","Restricted physical integrity","2023","2023",13,,
"REG1_5","All regions","TUR","Türkiye","RAPFR","Access to productive and financial assets","2023","2023",29.8,,
"REG1_5","All regions","TUR","Türkiye","RCL","Restricted civil liberties","2023","2023",21.1,,
"REG1_4","Europe","GBR","United Kingdom","SIGI","SIGI 2023","2023","2023",12,,
"REG1_4","Europe","GBR","United Kingdom","DF","Discrimination in the family","2023","2023",13.4,,
"REG1_4","Europe","GBR","United Kingdom","RPI","Restricted physical integrity","2023","2023",23.8,,
"REG1_4","Europe","GBR","United Kingdom","RAPFR","Access to productive and financial assets","2023","2023",3.7,,
"REG1_4","Europe","GBR","United Kingdom","RCL","Restricted civil liberties","2023","2023",5.9,,
"REG1_5","All regions","GBR","United Kingdom","SIGI","SIGI 2023","2023","2023",12,,
"REG1_5","All regions","GBR","United Kingdom","DF","Discrimination in the family","2023","2023",13.4,,
"REG1_5","All regions","GBR","United Kingdom","RPI","Restricted physical integrity","2023","2023",23.8,,
"REG1_5","All regions","GBR","United Kingdom","RAPFR","Access to productive and financial assets","2023","2023",3.7,,
"REG1_5","All regions","GBR","United Kingdom","RCL","Restricted civil liberties","2023","2023",5.9,,
"REG1_2","Americas","USA","United States","SIGI","SIGI 2023","2023","2023",19.1,,
"REG1_2","Americas","USA","United States","DF","Discrimination in the family","2023","2023",13.3,,
"REG1_2","Americas","USA","United States","RPI","Restricted physical integrity","2023","2023",28.7,,
"REG1_2","Americas","USA","United States","RAPFR","Access to productive and financial assets","2023","2023",15.1,,
"REG1_2","Americas","USA","United States","RCL","Restricted civil liberties","2023","2023",18.5,,
"REG1_5","All regions","USA","United States","SIGI","SIGI 2023","2023","2023",19.1,,
"REG1_5","All regions","USA","United States","DF","Discrimination in the family","2023","2023",13.3,,
"REG1_5","All regions","USA","United States","RPI","Restricted physical integrity","2023","2023",28.7,,
"REG1_5","All regions","USA","United States","RAPFR","Access to productive and financial assets","2023","2023",15.1,,
"REG1_5","All regions","USA","United States","RCL","Restricted civil liberties","2023","2023",18.5,,
"REG1_4","Europe","ALB","Albania","SIGI","SIGI 2023","2023","2023",8.9,,
"REG1_4","Europe","ALB","Albania","DF","Discrimination in the family","2023","2023",8.6,,
"REG1_4","Europe","ALB","Albania","RPI","Restricted physical integrity","2023","2023",14.9,,
"REG1_4","Europe","ALB","Albania","RAPFR","Access to productive and financial assets","2023","2023",4.6,,
"REG1_4","Europe","ALB","Albania","RCL","Restricted civil liberties","2023","2023",7.4,,
"REG1_5","All regions","ALB","Albania","SIGI","SIGI 2023","2023","2023",8.9,,
"REG1_5","All regions","ALB","Albania","DF","Discrimination in the family","2023","2023",8.6,,
"REG1_5","All regions","ALB","Albania","RPI","Restricted physical integrity","2023","2023",14.9,,
"REG1_5","All regions","ALB","Albania","RAPFR","Access to productive and financial assets","2023","2023",4.6,,
"REG1_5","All regions","ALB","Albania","RCL","Restricted civil liberties","2023","2023",7.4,,
"REG1_1","Africa","DZA","Algeria","DF","Discrimination in the family","2023","2023",79.9,,
"REG1_1","Africa","DZA","Algeria","RAPFR","Access to productive and financial assets","2023","2023",44.7,,
"REG1_1","Africa","DZA","Algeria","RCL","Restricted civil liberties","2023","2023",60.2,,
